user,pool,block,position,lpvalue
0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3116208,1,290.144
0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3159408,1,290.144
0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3202608,1,290.144
0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3245808,2,10652.2214
0xb1ac9db0d6a1ec291f427ad03fc3b632e1e93a56,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3245808,2,1.4629
0xed5c73f229d1f085c441cac3d9d8dee9c44dd475,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,9896.658
0xb1ac9db0d6a1ec291f427ad03fc3b632e1e93a56,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,1.2627
0x8ad255ee352420d3e257aa87a5811bd09f72d251,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,5.3672
0xeaa823ab4c4ee00283d8ed7be713ddf8a5ba0fac,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,0
0xaf112fb4c47a9e26a6d4852e45aaa63351f082ad,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,23.0763
0xfc8e3b00ea593cc999a3051de4a63ef759942df7,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,5.9902
0xee2388e09bc1c72b87dac51f71c44d0522e13770,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,3.8506
0x90db1a78080f9088125881b35f028c979a46d39c,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,0.3551
0x54881e63f225a8653c2da91fc3d9769e35b81b1f,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,4.6171
0x6c1ddfb81a3666188267296f10253a5a9b5bae40,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,2200.5804
0x7b52405200a1933d4bbfb8320746b9daeec1c19e,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,11.0213
0x218ed937cc38974818a8cfdb7aaef3c8150f71db,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,7.2873
0xed93a4e89ad6c27318eab868aa1efd2eb97fa13f,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,8.946
0x17134d2b7529a0692e39fc1eadb24d1a903ad0bd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,29.456
0xa970fa27e02a61d9ee6eb311cce7b8d2bdc6ab50,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,48.7343
0x1869f6bcca76861e0e2ea7ffdeb8be741d712736,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,103.618
0xb37cf0ef7cbd10c9f53f5f8d08b842fe39a55954,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,5.045
0xdec6d1c36e6a2c20642db914b3462ea65629668e,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,1567.765
0x7a1b53500d55a28b1a116e043075ec2d1a2be210,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,3.8505
0x9a74ec99bd88eca680485da7f32fca05af375dcf,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,24.3628
0x0b98718264ca14d0a17c145ffe1e4f3c38a39372,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,3.9186
0x2ee54d8eb4f898c285b9fce4320d0ba6725e1704,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,0
0x618208c77c81898331ec6880ef5f1ffa758d3915,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,3289008,25,16.0462
